timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-02 16:00:00,58537.99000000,58653.00000000,58293.12000000,58345.00000000,535.14834000,2024-09-02 16:59:59.999,31272506.55039190,66321,240.79915000,14070239.04283080,0
2024-09-02 17:00:00,58345.00000000,58558.49000000,58301.00000000,58514.01000000,753.89905000,2024-09-02 17:59:59.999,44056678.69179850,60909,288.02380000,16831425.02173000,0
2024-09-02 18:00:00,58514.01000000,58666.64000000,58318.33000000,58486.01000000,1025.88981000,2024-09-02 18:59:59.999,60010004.82135490,66483,346.30131000,20258498.63432640,0
2024-09-02 19:00:00,58486.01000000,58559.00000000,58390.39000000,58439.99000000,541.53520000,2024-09-02 19:59:59.999,31656052.34574960,40978,209.99223000,12275048.70674110,0
2024-09-02 20:00:00,58440.03000000,59243.00000000,58384.61000000,58992.00000000,1191.56744000,2024-09-02 20:59:59.999,70155364.19357580,98866,715.96856000,42165982.02765710,0
2024-09-02 21:00:00,58992.01000000,59274.32000000,58875.03000000,59047.00000000,1326.68023000,2024-09-02 21:59:59.999,78468791.30072320,98132,563.59362000,33334102.43498010,0
2024-09-02 22:00:00,59047.00000000,59350.00000000,59008.81000000,59349.99000000,637.61533000,2024-09-02 22:59:59.999,37719267.38442050,59176,341.85195000,20224957.43683200,0
2024-09-02 23:00:00,59349.99000000,59425.69000000,59073.00000000,59132.13000000,564.97293000,2024-09-02 23:59:59.999,33451941.87809690,58143,235.83278000,13965298.66075470,0
2024-09-03 00:00:00,59132.12000000,59258.00000000,59021.62000000,59257.99000000,502.75643000,2024-09-03 00:59:59.999,29725900.29675940,48432,260.85620000,15425839.64734890,0
2024-09-03 01:00:00,59258.00000000,59406.57000000,59195.41000000,59388.01000000,518.71715000,2024-09-03 01:59:59.999,30762282.13371550,53426,260.06535000,15423252.04212480,0
2024-09-03 02:00:00,59388.01000000,59809.65000000,59300.00000000,59311.01000000,1623.18138000,2024-09-03 02:59:59.999,96662619.86366150,104942,871.12782000,51884526.25221780,0
2024-09-03 03:00:00,59311.01000000,59327.71000000,59041.86000000,59110.99000000,544.08321000,2024-09-03 03:59:59.999,32208564.77928780,50958,227.33852000,13460972.85486600,0
2024-09-03 04:00:00,59111.00000000,59236.00000000,59003.99000000,59099.01000000,718.44133000,2024-09-03 04:59:59.999,42463175.23369840,41626,324.39753000,19174146.68515750,0
2024-09-03 05:00:00,59099.00000000,59259.00000000,58988.00000000,59186.00000000,782.13092000,2024-09-03 05:59:59.999,46276393.81512460,41200,391.81946000,23182050.49988630,0
2024-09-03 06:00:00,59186.00000000,59186.00000000,58872.00000000,58891.00000000,744.03271000,2024-09-03 06:59:59.999,43880571.56610660,56069,268.81607000,15851615.60557120,0
2024-09-03 07:00:00,58891.01000000,59140.35000000,58880.57000000,59112.00000000,541.94542000,2024-09-03 07:59:59.999,31978961.19327290,47223,312.63611000,18448270.21643870,0
2024-09-03 08:00:00,59112.01000000,59136.58000000,58717.00000000,58789.02000000,856.96694000,2024-09-03 08:59:59.999,50510480.57279660,75619,282.95421000,16670605.54897750,0
2024-09-03 09:00:00,58789.01000000,58961.50000000,58783.00000000,58874.00000000,617.95793000,2024-09-03 09:59:59.999,36387256.79912630,55201,282.57111000,16638777.62117610,0
2024-09-03 10:00:00,58874.01000000,59195.63000000,58836.87000000,59078.94000000,575.26778000,2024-09-03 10:59:59.999,33965263.23681940,51615,313.13207000,18489382.22343200,0
2024-09-03 11:00:00,59078.94000000,59106.01000000,58951.00000000,59072.00000000,383.86430000,2024-09-03 11:59:59.999,22662581.25671290,45806,194.74615000,11497901.02219980,0
2024-09-03 12:00:00,59072.01000000,59350.00000000,59057.34000000,59135.01000000,692.84349000,2024-09-03 12:59:59.999,41024288.05814670,74803,373.67259000,22129008.37579120,0
2024-09-03 13:00:00,59135.01000000,59320.14000000,58198.28000000,58398.99000000,2496.48305000,2024-09-03 13:59:59.999,146407107.27868860,234630,1178.89561000,69154755.45002420,0
2024-09-03 14:00:00,58398.99000000,58398.99000000,57568.00000000,57672.84000000,3781.01296000,2024-09-03 14:59:59.999,219111376.96989240,318386,1824.31883000,105737059.22366160,0
2024-09-03 15:00:00,57672.84000000,58018.00000000,57630.00000000,57725.00000000,1219.72466000,2024-09-03 15:59:59.999,70479851.51599150,163610,609.81065000,35238722.10785700,0
2024-09-03 16:00:00,57725.01000000,57924.00000000,57655.81000000,57708.00000000,1112.37825000,2024-09-03 16:59:59.999,64257516.48382230,141664,620.05500000,35817625.40476670,0
2024-09-03 17:00:00,57707.99000000,58100.00000000,57680.00000000,57698.00000000,885.89458000,2024-09-03 17:59:59.999,51256467.79204210,111597,385.42054000,22306250.59519590,0
2024-09-03 18:00:00,57698.00000000,58055.00000000,57589.01000000,57926.00000000,915.05632000,2024-09-03 18:59:59.999,52934625.12058550,113099,463.21406000,26803338.95195400,0
2024-09-03 19:00:00,57925.99000000,58251.09000000,57852.00000000,58046.00000000,833.08235000,2024-09-03 19:59:59.999,48341944.19439100,114954,426.24801000,24730454.83932070,0
2024-09-03 20:00:00,58045.99000000,58247.00000000,58045.99000000,58228.00000000,587.21957000,2024-09-03 20:59:59.999,34155247.38394090,64059,308.30382000,17934094.87257170,0
2024-09-03 21:00:00,58228.01000000,58238.00000000,57957.50000000,58134.61000000,471.63225000,2024-09-03 21:59:59.999,27391069.31962570,52773,207.48392000,12048345.83751490,0
2024-09-03 22:00:00,58134.61000000,58183.68000000,57863.99000000,57865.00000000,495.40241000,2024-09-03 22:59:59.999,28737813.04989990,60523,228.59762000,13261891.59652570,0
2024-09-03 23:00:00,57865.00000000,57899.00000000,57415.00000000,57487.73000000,928.10908000,2024-09-03 23:59:59.999,53495457.94581630,86543,363.31079000,20943785.63863110,0
2024-09-04 00:00:00,57487.74000000,57943.53000000,57100.00000000,57140.02000000,1476.45488000,2024-09-04 00:59:59.999,84983242.54875830,146714,594.98057000,34294312.32371110,0
2024-09-04 01:00:00,57140.02000000,57161.06000000,55606.00000000,56784.01000000,6507.54633000,2024-09-04 01:59:59.999,366608968.02442580,377564,2744.60037000,154585177.44740960,0
2024-09-04 02:00:00,56784.01000000,56823.00000000,56520.35000000,56648.01000000,1131.28965000,2024-09-04 02:59:59.999,64120669.33036050,114228,599.29536000,33969369.81908690,0
2024-09-04 03:00:00,56648.01000000,56850.00000000,56618.00000000,56653.98000000,893.25504000,2024-09-04 03:59:59.999,50676818.75245840,72970,415.83911000,23592466.16001780,0
2024-09-04 04:00:00,56653.99000000,56728.00000000,56559.15000000,56694.00000000,517.99161000,2024-09-04 04:59:59.999,29342936.09474000,54494,251.16839000,14229152.40549480,0
2024-09-04 05:00:00,56694.00000000,56694.00000000,56201.00000000,56252.01000000,1520.48803000,2024-09-04 05:59:59.999,85751941.58728770,102483,384.64090000,21699742.08534870,0
2024-09-04 06:00:00,56252.01000000,56530.01000000,56209.99000000,56277.00000000,2018.11039000,2024-09-04 06:59:59.999,113758240.50123340,107110,1127.87050000,63575512.91586160,0
2024-09-04 07:00:00,56277.00000000,56881.00000000,56253.00000000,56746.00000000,1513.51398000,2024-09-04 07:59:59.999,85623205.67989640,113279,833.09693000,47132825.97563660,0
2024-09-04 08:00:00,56746.00000000,56909.94000000,56668.28000000,56783.01000000,740.01293000,2024-09-04 08:59:59.999,42022177.71973950,60796,398.62371000,22640420.79132410,0
2024-09-04 09:00:00,56783.01000000,56855.00000000,56570.00000000,56596.99000000,853.89851000,2024-09-04 09:59:59.999,48394439.46414380,59090,401.43512000,22750255.40343520,0
